MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
01;2020;04944;02;01;04;07;108;1;08;02;1;1;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;32,27;1;6;0;5;6;0;5;6;0;5;6;0;5;32,27;4;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;1;073;04;1;1;1;1;1;2;1;4;3;;3;2;6;2;1;461,239512;461,239512;461,239512
01;2020;04944;02;02;04;07;108;1;08;02;1;1;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;32,27;1;6;0;5;6;0;5;6;0;5;6;0;5;32,27;4;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;1;073;04;1;1;1;1;1;2;1;4;3;;3;2;6;2;1;461,239512;461,239512;461,239512
01;2020;04795;01;02;01;29;108;1;08;08;1;1;0;1;1;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;37,35;1;6;0;5;6;0;5;6;0;5;6;0;5;37,35;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;4;2;2;2;045;01;1;1;1;1;1;2;1;3;4;;4;4;6;4;2,301348;2855,426582;6571,330254;4713,378623
01;2020;12955;02;01;12;36;108;1;07;08;3;3;0;0;1;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;13,36;1;1;31,67;1;1;25,75;1;6;0;5;1;10,3;1;81,08;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;08;1;3;1;2;2;040;12;3;2;1;1;1;5;3;3;1;3;2;3;6;1;3,65871;1156,107696;4229,862788;2692,984443
01;2020;12955;03;01;12;27;108;1;06;02;2;2;0;0;1;0;0;0;01;3;05;;;6;;;;;6;6;;;;6;0;5;1;74,79;1;1;23,71;1;1;60,8;1;6;0;5;6;0;5;1;36,44;1;195,74;1;;;4;03;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;08;1;3;1;2;2;040;12;3;2;1;1;1;5;3;3;1;3;2;3;6;1;3,65871;1156,107696;4229,862788;2692,984443
01;2020;13741;01;04;12;36;108;1;08;08;1;1;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;18,2;1;6;0;5;6;0;5;6;0;5;1;24,08;1;42,28;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;2;043;12;3;2;1;1;1;2;1;3;4;;3;2;6;4;1;2780,813806;2780,813806;2780,813806
01;2020;13741;01;05;12;36;108;1;08;02;1;1;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;18,2;1;6;0;5;6;0;5;6;0;5;1;24,08;1;42,28;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;2;043;12;3;2;1;1;1;2;1;3;4;;3;2;6;4;1;2780,813806;2780,813806;2780,813806
01;2020;13741;02;02;12;32;108;1;03;02;1;1;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;21,25;1;6;0;5;6;0;5;6;0;5;1;28,21;1;49,46;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;1;2;2;0;2;043;12;3;2;1;1;1;2;1;3;4;;3;2;6;4;1;2780,813806;2780,813806;2780,813806
01;2020;13741;02;03;12;32;108;1;03;02;1;1;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;21,25;1;6;0;5;6;0;5;6;0;5;1;28,21;1;49,46;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;1;2;2;0;2;043;12;3;2;1;1;1;2;1;3;4;;3;2;6;4;1;2780,813806;2780,813806;2780,813806
01;2020;14962;01;01;01;41;108;1;07;08;4;4;0;1;0;0;0;0;01;4;05;;;6;;;;;6;6;;;;6;0;5;1;181,97;1;1;48,53;2;1;98,72;1;1;14,01;1;6;0;5;1;37,36;1;380,59;2;;;5;03;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;1;1;0;2;022;01;4;1;1;1;1;1;3;3;4;;2;2;6;5;1;2005,493754;2005,493754;2005,493754
