MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
03;2019;15448;01;01;10;03;108;1;01;10;14;14;0;1;0;0;0;0;01;3;01;1;;6;;;;;6;6;;;;6;0;5;1;337,3;2;1;117,66;2;1;195,96;2;1;69,51;2;6;0;5;1;63,45;2;783,88;1;5;1;6;04;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;08;6;2;2;0;2;063;16;3;1;1;1;1;5;2;3;3;;3;2;1;5;1;4855,871978;4855,871978;4855,871978
03;2019;15448;02;01;06;39;108;1;15;02;3;3;0;1;0;0;0;0;10;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;12,51;2;1;30,13;2;6;0;5;6;0;5;1;34,13;2;76,77;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;2;2;0;2;063;16;3;1;1;1;1;5;2;3;3;;3;2;1;5;1;4855,871978;4855,871978;4855,871978
03;2019;11241;01;01;11;10;108;1;02;02;2;2;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;29,71;1;1;29,63;1;6;0;5;6;0;5;1;28,24;1;87,58;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;08;6;2;2;0;1;024;07;2;1;1;1;1;1;2;3;4;;3;2;6;3;1;4528,691261;4528,691261;4528,691261
03;2019;05223;02;01;12;15;108;1;02;10;5;5;0;1;0;0;0;0;01;3;01;8;;1;1;1;1;1;6;6;;;;1;350,31;1;6;0;5;6;0;5;1;74,11;1;6;0;5;6;0;5;6;0;5;424,42;1;;;;;1;1;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;08;1;2;2;0;1;073;10;1;1;1;1;1;2;1;2;3;;3;2;1;1;1;4407,225434;4407,225434;4407,225434
03;2019;13305;02;01;13;28;108;1;18;03;1;1;1;0;0;0;0;0;01;3;10;;1;6;;;;;6;6;1;1;1;6;0;5;1;83,56;2;1;95,25;1;1;55,6;1;1;52,23;2;6;0;5;6;0;5;286,64;2;3;4;3;04;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;09;1;1;1;0;1;051;10;1;1;1;1;1;2;1;4;1;3;4;4;1;5;1;4461,456809;4461,456809;4461,456809
03;2019;15495;01;01;02;22;108;1;03;02;2;2;0;1;1;0;0;0;14;;05;;;6;;;;;1;6;;;;6;0;5;6;0;5;1;22,17;1;1;28,48;1;1;32,27;4;6;0;5;6;0;5;82,92;4;;;;;;;;;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;1;4;2;2;1;030;02;5;2;1;1;1;2;1;2;1;3;4;4;6;4;2,337446;2744,417702;6414,92818;4579,674962
03;2019;15495;02;01;02;44;108;1;02;02;2;2;0;1;1;0;0;0;14;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;27,27;1;1;37,99;1;6;0;5;6;0;5;6;0;5;65,26;1;;;;;;;;;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;4;2;2;1;030;02;5;2;1;1;1;2;1;2;1;3;4;4;6;4;2,337446;2744,417702;6414,92818;4579,674962
03;2019;11261;01;01;00;00;001;6;02;10;5;5;0;0;0;0;1;0;11;;01;6;;6;;;;;6;6;;;;6;0;5;6;0;5;1;262,24;1;1;91,71;1;1;84,82;1;6;0;5;1;42,41;1;481,18;1;5;7;;;;;;;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;08;6;1;1;0;2;042;10;1;1;1;1;1;2;1;4;1;4;4;4;6;3;1;2701,474326;2701,474326;2701,474326
03;2019;04683;01;01;03;33;108;1;08;02;2;2;0;1;0;0;0;0;01;3;05;;;6;;;;;6;6;;;;6;0;5;1;99,62;1;1;44,23;1;1;100,49;1;6;0;5;6;0;5;6;0;5;244,34;1;;;3;02;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;2;039;07;5;3;1;1;1;2;1;4;1;3;3;2;6;3;1;2472,872795;2472,872795;2472,872795
03;2019;06062;01;02;02;44;108;1;08;10;6;6;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;31,19;1;1;66,08;2;6;0;5;6;0;5;1;72,54;1;169,81;2;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;;;2;2;0;2;080;02;1;1;1;1;1;2;1;3;3;;3;2;6;2;1;1095,156218;1095,156218;1095,156218
