MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
07;2021;10258;03;01;10;03;108;1;01;07;7;7;0;1;1;0;0;0;01;3;09;;;1;1;1;1;6;6;6;;;;1;431,34;1;6;0;5;6;0;5;1;134,22;1;6;0;5;6;0;5;1;81,7;1;647,26;1;;;;;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;09;1;3;3;0;1;071;11;2;1;1;1;1;2;1;4;3;;4;4;1;5;1;990,389981;990,389981;990,389981
07;2021;05518;01;02;09;43;108;1;07;07;13;13;1;0;0;0;0;0;03;;05;;;6;;;;;6;6;;;;6;0;5;1;365,2;1;1;39,37;1;1;139,36;1;6;0;5;6;0;5;1;177,03;1;720,96;1;;;7;09;;;;;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;10;1;1;1;0;1;049;10;5;3;2;2;2;1;3;2;4;;2;2;6;5;1;1500,99989;1500,99989;1500,99989
07;2021;05518;02;02;10;12;108;1;08;02;1;1;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;8,14;1;1;24,89;1;6;0;5;6;0;5;6;0;5;33,03;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;;;1;1;0;1;049;10;5;3;2;2;2;1;3;2;4;;2;2;6;5;1;1500,99989;1500,99989;1500,99989
07;2021;04782;01;01;09;43;108;1;08;10;2;2;0;0;0;0;1;0;05;;05;;;6;;;;;6;6;;;;6;0;5;1;59,87;1;1;22,92;1;1;42,24;1;1;3,78;1;6;0;5;1;37,82;1;166,63;1;;;2;05;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;;;1;1;0;2;021;10;5;3;1;1;1;1;3;3;4;;4;4;6;3;1;1817,077158;1817,077158;1817,077158
07;2021;06125;02;01;08;16;108;1;08;10;1;1;0;0;0;1;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;27,4;1;1;25,73;1;6;0;5;6;0;5;6;0;5;53,13;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;2;019;10;3;2;1;1;1;1;3;3;4;;2;2;6;2;1;441,245578;441,245578;441,245578
07;2021;07848;01;01;11;06;108;1;02;02;2;2;0;0;0;0;1;0;01;3;05;;;6;;;;;6;6;;;;6;0;5;1;109,15;2;1;55,61;2;1;98,53;2;1;33,4;2;6;0;5;1;40,58;2;337,27;1;;;2;02;;;;;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;10;6;1;1;0;2;061;08;4;2;1;1;1;1;3;3;1;3;1;1;1;2;1;599,400128;599,400128;599,400128
07;2021;05490;02;01;08;45;108;1;07;02;3;3;1;0;0;0;0;0;11;;09;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;48,57;2;6;0;5;6;0;5;6;0;5;6;0;5;48,57;2;1;7;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;08;1;1;1;0;1;018;08;4;2;1;1;1;1;3;3;4;;4;3;6;2;1;1993,335268;1993,335268;1993,335268
07;2021;00688;02;01;06;39;108;1;01;07;6;6;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;93,23;1;1;97,17;1;1;15,12;1;6;0;5;1;151,17;1;356,69;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;1;2;2;0;2;068;08;4;2;1;1;1;2;1;4;3;;5;3;6;4;1;968,047225;968,047225;968,047225
07;2021;04990;01;09;08;02;108;1;17;06;3;3;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;52,93;2;6;0;5;6;0;5;6;0;5;1;69,3;2;122,23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,308813;1505,681103;4982,017207;3243,851188
07;2021;04990;01;10;08;02;108;1;17;06;3;3;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;52,93;2;6;0;5;6;0;5;6;0;5;1;69,3;2;122,23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,308813;1505,681103;4982,017207;3243,851188
07;2021;04990;01;11;08;02;108;1;17;06;3;3;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;52,93;2;6;0;5;6;0;5;6;0;5;1;69,3;2;122,23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,308813;1505,681103;4982,017207;3243,851188
07;2021;04990;01;12;08;02;108;1;17;06;3;3;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;52,93;2;6;0;5;6;0;5;6;0;5;1;69,3;2;122,23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,308813;1505,681103;4982,017207;3243,851188
07;2021;04990;01;13;08;02;108;1;17;06;3;3;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;52,93;2;6;0;5;6;0;5;6;0;5;1;69,3;2;122,23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,308813;1505,681103;4982,017207;3243,851188
07;2021;04990;01;14;08;02;108;1;17;06;3;3;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;52,93;2;6;0;5;6;0;5;6;0;5;1;69,3;2;122,23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,308813;1505,681103;4982,017207;3243,851188
07;2021;04990;01;15;08;02;108;1;17;06;3;3;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;52,93;2;6;0;5;6;0;5;6;0;5;1;69,3;2;122,23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,308813;1505,681103;4982,017207;3243,851188
