MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
10;2021;05206;02;01;01;23;108;1;08;02;2;2;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;32,77;1;1;33,21;1;1;42,8;1;6;0;5;6;0;5;108,78;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;;1;1;0;2;058;08;5;3;1;1;1;3;3;4;1;3;1;1;6;3;1;572,208423;572,208423;572,208423
10;2021;03234;01;02;16;01;108;1;08;10;2;2;1;0;0;0;0;0;10;;09;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;9,23;1;6;0;5;6;0;5;6;0;5;1;30,26;1;39,49;1;1;2;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;1;1;0;2;064;16;1;1;1;1;1;5;3;2;4;;1;1;1;1;1;1425,010427;1425,010427;1425,010427
10;2021;04363;01;01;06;39;108;1;08;01;3;3;0;0;0;1;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;35,04;1;6;0;5;6;0;5;6;0;5;1;91,45;1;126,49;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;2;057;16;1;1;1;1;1;1;3;4;1;3;2;2;6;5;1;1736,501856;1736,501856;1736,501856
10;2021;09129;01;02;07;09;108;1;07;02;1;1;0;1;0;0;0;0;10;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;12,71;2;6;0;5;6;0;5;6;0;5;1;25,61;2;38,32;2;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;05;1;2;2;0;2;074;16;1;1;1;1;1;2;1;2;4;;3;2;1;1;1;3180,828341;3180,828341;3180,828341
10;2021;03838;01;01;01;11;108;1;02;10;7;7;0;1;0;0;0;0;01;4;01;8;;1;1;1;1;1;6;6;;;;1;317,17;2;1;300,75;2;1;65,81;2;6;0;5;1;97,15;2;6;0;5;6;0;5;780,88;1;;;;;1;1;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;07;1;2;2;0;1;071;16;1;1;1;1;1;2;1;2;3;;3;2;1;4;1;2090,353705;2090,353705;2090,353705
10;2021;09073;01;03;11;10;108;1;08;02;1;1;0;0;0;1;0;0;10;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;11,94;1;1;14,39;1;6;0;5;6;0;5;1;21,07;1;47,4;1;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;;;1;1;0;2;061;11;2;1;1;1;1;1;3;3;1;3;1;1;1;2;1;291,383243;291,383243;291,383243
10;2021;09073;01;04;11;10;108;1;08;02;1;1;0;0;0;1;0;0;10;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;11,94;1;1;14,39;1;6;0;5;6;0;5;1;21,07;1;47,4;1;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;;;1;1;0;2;061;11;2;1;1;1;1;1;3;3;1;3;1;1;1;2;1;291,383243;291,383243;291,383243
10;2021;10478;01;01;08;45;108;1;18;03;4;4;1;0;0;0;0;0;12;;05;;;6;;;;;6;1;;2;2;6;0;3;6;0;3;1;46,72;3;6;0;3;6;0;3;6;0;3;1;73,45;3;120,17;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;019;08;2;1;1;1;1;1;3;3;4;;4;4;6;3;1;3202,134702;3202,134702;3202,134702
10;2021;10478;02;01;08;45;108;1;18;03;5;5;1;0;0;0;0;0;12;;05;;;6;;;;;6;1;;2;2;6;0;3;6;0;3;1;47,8;3;6;0;3;6;0;3;6;0;3;1;89,81;3;137,61;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;2;019;08;2;1;1;1;1;1;3;3;4;;4;4;6;3;1;3202,134702;3202,134702;3202,134702
10;2021;10478;03;01;08;45;108;1;18;03;5;5;1;0;0;0;0;0;12;;05;;;6;;;;;6;6;;2;2;6;0;5;6;0;5;1;30,28;1;6;0;5;6;0;5;6;0;5;1;57,89;1;88,17;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;07;1;1;1;0;2;019;08;2;1;1;1;1;1;3;3;4;;4;4;6;3;1;3202,134702;3202,134702;3202,134702
