MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
09;2021;10323;01;01;15;31;108;1;04;10;3;3;0;1;0;0;0;0;01;2;09;;;1;1;1;1;1;6;6;;;;1;229;1;6;0;5;6;0;5;1;103,54;1;6;0;5;6;0;5;1;99,13;4;431,67;4;;;;;1;1;5;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;09;1;1;1;0;1;071;10;5;3;1;1;1;2;3;4;3;;1;1;6;3;1;448,670588;448,670588;448,670588
09;2021;00741;01;01;00;00;002;6;08;07;34;34;1;0;0;0;0;0;11;;01;6;;6;;;;;6;6;;;;6;0;5;6;0;5;1;206,7;1;1;157,12;1;6;0;5;6;0;5;1;400,42;1;764,24;1;5;2;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;;;1;1;0;2;062;19;2;1;1;1;1;3;3;2;4;;2;3;6;2;1;280,254932;280,254932;280,254932
09;2021;03237;01;01;01;04;108;1;07;10;120;97;0;1;0;0;0;0;10;;03;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;143,97;4;1;790,45;4;6;0;5;1;1500;5;1;817,39;4;3251,81;4;2;2;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;08;1;2;2;0;1;072;19;2;1;1;1;1;2;1;3;3;;3;2;1;5;1;166,912866;166,912866;166,912866
09;2021;00922;01;01;00;00;003;6;01;07;8;8;0;1;0;1;0;0;01;5;01;6;;1;1;1;6;6;6;6;;;;1;1815,52;1;6;0;5;6;0;5;6;0;5;1;188,29;1;6;0;5;1;36,21;1;2040,02;1;;;;;1;1;5;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;10;6;2;2;0;2;039;19;2;1;1;1;1;1;3;2;1;3;2;2;6;3;1;102,887359;102,887359;102,887359
09;2021;09796;01;01;01;11;108;1;01;07;5;5;0;1;1;0;0;0;01;4;05;;;6;;;;;6;6;;;;6;0;5;1;287,47;1;1;53,46;1;1;150,39;1;6;0;5;6;0;5;6;0;5;491,32;1;;;4;01;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08;1;4;4;0;1;055;19;2;1;1;1;1;2;1;4;1;3;4;4;6;5;1;330,397615;330,397615;330,397615
09;2021;09796;02;01;01;29;108;1;07;01;4;4;0;1;0;0;1;0;05;;05;;;6;;;;;6;6;;;;6;0;5;1;158,13;1;1;48,8;1;1;61,83;1;1;33,76;1;6;0;5;6;0;5;302,52;1;;;5;06;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;09;6;2;2;0;1;055;19;2;1;1;1;1;2;1;4;1;3;4;4;6;5;1;330,397615;330,397615;330,397615
09;2021;09796;03;01;01;29;108;1;12;10;2;2;0;0;1;0;0;0;01;3;03;;;6;;;;;6;6;;;;6;0;5;1;87,93;1;1;94,43;1;1;64,19;1;6;0;5;6;0;5;1;54,82;1;301,37;1;4;1;4;01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;1;055;19;2;1;1;1;1;2;1;4;1;3;4;4;6;5;1;330,397615;330,397615;330,397615
09;2021;12546;02;01;08;02;108;1;17;06;4;4;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;42,19;1;1;52,24;1;6;0;5;6;0;5;1;52,4;1;146,83;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,233409;1501,546016;4855,112402;3178,331362
09;2021;12546;02;02;08;02;108;1;17;06;4;4;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;42,19;1;1;52,24;1;6;0;5;6;0;5;1;52,4;1;146,83;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,233409;1501,546016;4855,112402;3178,331362
09;2021;12546;02;03;08;02;108;1;17;06;4;4;;;;;;;10;;05;;;;;;;;6;6;;2;2;;0;5;6;0;5;1;42,19;1;1;52,24;1;6;0;5;6;0;5;1;52,4;1;146,83;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;2;2;043;08;4;2;1;1;1;2;1;4;1;3;4;4;1;5;3,233409;1501,546016;4855,112402;3178,331362
