MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
10;2019;14339;03;01;06;39;108;1;08;02;1;1;0;0;1;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;13,36;1;6;0;5;6;0;5;6;0;5;1;20,76;1;34,12;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;;3;1;2;2;039;16;4;2;1;1;1;5;3;4;1;3;2;3;6;2;3,629091;297,123731;1078,289058;687,706882
10;2019;07282;01;03;07;09;108;1;17;06;4;4;;;;;;;11;;05;;;;;;;;6;6;;1;2;;0;5;6;0;5;1;32,38;2;6;0;5;6;0;5;6;0;5;1;61,54;2;93,92;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;049;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2510,994033;2510,994033;2510,994033
10;2019;07282;01;04;07;09;108;1;17;06;4;4;;;;;;;11;;05;;;;;;;;6;6;;1;2;;0;5;6;0;5;1;32,38;2;6;0;5;6;0;5;6;0;5;1;61,54;2;93,92;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;049;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2510,994033;2510,994033;2510,994033
10;2019;07282;01;05;07;09;108;1;17;06;4;4;;;;;;;11;;05;;;;;;;;6;6;;1;2;;0;5;6;0;5;1;32,38;2;6;0;5;6;0;5;6;0;5;1;61,54;2;93,92;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;049;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2510,994033;2510,994033;2510,994033
10;2019;07282;01;06;07;09;108;1;17;06;4;4;;;;;;;11;;05;;;;;;;;6;6;;1;2;;0;5;6;0;5;1;32,38;2;6;0;5;6;0;5;6;0;5;1;61,54;2;93,92;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;049;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2510,994033;2510,994033;2510,994033
10;2019;11960;01;01;00;00;004;6;03;10;22;22;0;1;0;0;0;0;02;;01;6;;6;;;;;6;6;;;;6;0;5;1;843,53;1;1;1425,93;1;1;566,51;1;1;176,54;1;6;0;5;1;353,07;1;3365,58;1;6;1;6;01;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;1;1;0;1;032;16;1;1;1;1;1;2;3;4;1;3;5;3;6;5;1;1529,946514;1529,946514;1529,946514
10;2019;06023;01;01;01;41;108;1;08;01;2;2;1;0;0;0;0;0;11;;09;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;62,06;2;6;0;5;6;0;5;6;0;5;1;74,13;2;136,19;2;3;1;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;1;1;0;2;056;01;5;3;1;1;1;3;3;3;1;2;2;2;6;1;1;1997,35767;1997,35767;1997,35767
10;2019;14633;01;05;13;28;108;1;17;06;4;4;;;;;;;02;;05;;;;;;;;6;6;2;2;2;;0;5;1;193,53;1;1;66,7;1;6;0;5;6;0;5;6;0;5;1;53,28;1;313,51;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;053;08;3;2;1;1;1;2;1;2;1;3;3;2;1;3;1;1638,181858;1638,181858;1638,181858
10;2019;14633;01;06;13;28;108;1;17;06;4;4;;;;;;;02;;05;;;;;;;;6;6;2;2;2;;0;5;1;193,53;1;1;66,7;1;6;0;5;6;0;5;6;0;5;1;53,28;1;313,51;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;053;08;3;2;1;1;1;2;1;2;1;3;3;2;1;3;1;1638,181858;1638,181858;1638,181858
10;2019;14633;01;07;13;28;108;1;17;06;4;4;;;;;;;02;;05;;;;;;;;6;6;2;2;2;;0;5;1;193,53;1;1;66,7;1;6;0;5;6;0;5;6;0;5;1;53,28;1;313,51;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;053;08;3;2;1;1;1;2;1;2;1;3;3;2;1;3;1;1638,181858;1638,181858;1638,181858
