MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
10;2020;08063;01;01;02;50;108;1;12;10;2;2;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;10,57;1;6;0;5;6;0;5;6;0;5;1;39,2;1;49,77;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;062;02;5;3;1;1;1;4;3;3;2;;1;1;6;1;1;400,508226;400,508226;400,508226
10;2020;08063;02;01;02;50;108;1;12;10;3;3;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;10,5;1;6;0;5;6;0;5;6;0;5;1;53,29;1;63,79;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;062;02;5;3;1;1;1;4;3;3;2;;1;1;6;1;1;400,508226;400,508226;400,508226
10;2020;03402;02;01;05;35;108;1;07;10;5;5;0;1;0;0;1;0;03;;05;;;6;;;;;6;6;;;;6;0;5;1;163,01;1;1;10,61;1;6;0;5;6;0;5;6;0;5;1;63,35;1;236,97;1;;;5;05;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;2;2;0;1;033;05;1;1;1;1;1;1;2;4;1;3;3;2;6;6;1;4240,69854;4240,69854;4240,69854
10;2020;15754;01;01;05;35;108;1;01;10;4;4;0;1;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;12,02;1;1;40,82;1;6;0;5;6;0;5;1;49,11;1;101,95;1;;;;;;;;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;10;1;2;2;0;1;047;05;1;1;1;1;1;2;1;4;1;3;3;2;6;6;1;1899,642451;1899,642451;1899,642451
10;2020;04140;03;01;09;17;108;1;07;10;4;4;0;1;0;0;1;0;03;;05;;;6;;;;;1;6;;;;6;0;5;1;109,09;1;1;33,81;1;1;58,1;1;6;0;5;6;0;5;1;44,26;1;245,26;1;;;3;05;;;;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;6;1;1;0;2;027;09;1;1;1;1;1;1;3;4;1;4;1;1;1;3;1;2967,287613;2967,287613;2967,287613
10;2020;07471;01;01;01;04;108;1;08;10;7;7;0;1;0;0;0;0;11;;03;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;126,49;1;1;102,12;1;6;0;5;6;0;5;1;87,57;1;316,18;1;2;2;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;2;2;0;2;064;19;2;1;1;1;1;2;1;4;1;3;4;4;6;5;1;126,30973;126,30973;126,30973
10;2020;08674;01;01;10;46;108;1;15;10;90;45;0;1;0;0;0;0;10;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;18,15;2;1;412,62;4;6;0;5;6;0;5;6;0;5;430,77;2;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;2;2;0;2;070;10;1;1;1;1;1;2;1;4;3;;3;2;1;5;1;2022,976;2022,976;2022,976
10;2020;01815;02;01;01;11;108;1;08;02;2;2;0;1;1;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;78,78;1;6;0;5;6;0;5;6;0;5;6;0;5;78,78;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;4;2;2;1;044;01;1;1;1;1;1;2;1;4;1;3;4;4;6;5;2,309848;3412,419313;7882,169925;5647,290993
10;2020;08285;01;01;09;08;108;1;08;10;4;4;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;62,9;1;1;62,79;1;6;0;5;6;0;5;6;0;5;125,69;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;1;1;0;2;051;09;3;2;1;1;1;1;3;4;1;3;1;1;6;3;1;1094,58381;1094,58381;1094,58381
10;2020;02259;02;01;04;07;108;1;03;10;7;7;0;1;0;0;0;0;01;3;01;1;;6;;;;;6;6;;;;6;0;5;1;286,55;1;1;148,56;1;1;166,57;1;6;0;5;6;0;5;1;81,81;1;683,49;1;2;3;2;03;;;;;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;08;6;2;2;0;1;061;16;1;1;1;1;1;2;1;2;1;3;4;4;6;3;1;1225,136973;1225,136973;1225,136973
