MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
12;2019;03705;01;06;07;09;108;1;17;06;4;4;;;;;;;03;;05;;;;;;;;6;6;1;1;2;;0;5;1;65,12;2;1;20,04;2;1;51,57;1;6;0;5;6;0;5;1;40,9;1;177,63;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;050;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2077,361928;2077,361928;2077,361928
12;2019;03705;01;07;07;09;108;1;17;06;4;4;;;;;;;03;;05;;;;;;;;6;6;1;1;2;;0;5;1;65,12;2;1;20,04;2;1;51,57;1;6;0;5;6;0;5;1;40,9;1;177,63;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;050;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2077,361928;2077,361928;2077,361928
12;2019;03705;01;08;07;09;108;1;17;06;4;4;;;;;;;03;;05;;;;;;;;6;6;1;1;2;;0;5;1;65,12;2;1;20,04;2;1;51,57;1;6;0;5;6;0;5;1;40,9;1;177,63;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;050;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2077,361928;2077,361928;2077,361928
12;2019;03705;02;01;07;09;108;1;17;06;1;1;;;;;;;03;;05;;;;;;;;6;6;1;1;2;;0;5;1;18,43;2;1;14,99;2;1;24,07;1;6;0;5;6;0;5;1;17,28;1;74,77;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;050;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2077,361928;2077,361928;2077,361928
12;2019;03705;02;02;07;09;108;1;17;06;1;1;;;;;;;03;;05;;;;;;;;6;6;1;1;2;;0;5;1;18,43;2;1;14,99;2;1;24,07;1;6;0;5;6;0;5;1;17,28;1;74,77;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;050;16;4;2;1;1;1;4;3;3;1;3;2;4;1;5;1;2077,361928;2077,361928;2077,361928
12;2019;10781;01;01;17;26;108;1;06;02;1;1;0;0;0;1;0;0;01;4;05;;;6;;;;;6;6;;;;6;0;5;1;137,74;2;1;50,07;2;6;0;5;6;0;5;6;0;5;6;0;5;187,81;1;;;5;01;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;09;1;1;1;0;1;062;16;1;1;1;1;1;2;3;4;3;;1;1;6;3;1;507,905628;507,905628;507,905628
12;2019;10781;02;01;07;37;108;1;08;08;1;1;0;0;1;0;0;0;01;4;05;;;6;;;;;6;6;;;;6;0;5;1;74,79;1;1;77,83;1;1;145,55;1;6;0;5;6;0;5;6;0;5;298,17;1;;;4;01;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;1;1;0;1;062;16;1;1;1;1;1;2;3;4;3;;1;1;6;3;1;507,905628;507,905628;507,905628
12;2019;07258;01;02;10;03;108;1;08;10;6;6;1;0;0;0;0;0;11;;09;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;55,85;1;6;0;5;6;0;5;6;0;5;1;79,49;1;135,34;1;1;2;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;;1;1;0;2;069;01;5;3;1;1;1;2;3;2;3;;1;1;6;1;1;1231,375857;1231,375857;1231,375857
12;2019;14674;02;01;09;43;108;1;08;01;3;3;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;52,75;1;1;85,89;1;6;0;5;6;0;5;6;0;5;138,64;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;1;1;0;1;043;09;3;1;1;1;1;1;3;4;1;1;1;1;6;5;1;2526,209086;2526,209086;2526,209086
12;2019;11267;02;01;00;00;001;6;07;08;2;2;0;0;0;1;0;0;10;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;34,02;1;1;36,24;1;6;0;5;6;0;5;1;30,8;1;101,06;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;08;1;3;2;1;1;051;09;3;1;1;1;1;2;1;2;1;3;4;3;1;4;1,633013;4351,102731;7105,407324;5728,251487
