MES;ANYO;IDSEC;ORDEN_VIAJE;ORDEN_REP;CCAADEST;PROVDEST;PAISDEST;DESTESP;MOTIV;TIPOVIAJ;NPERNOC;NPERNOC_CORR;VIAJA_SOLO;VIAJA_PAREJA;VIAJA_HIJOS;VIAJA_OTROSFAMILIARES;VIAJA_AMIGOS;VIAJA_COMPTRABAJO;ALOJAPRIN;NESTR_PPAL;TRANSPRIN;LOW_COST;AVE;PAQUETE;PAQ_TRANSP;PAQ_ALOJA;PAQ_COMBEB;PAQ_ACT;BLOQUE_ETAPAS;IMPU_PARCIAL;PAGO_ALOJA;PAGO_TRANS;PAGO_MANUT;GASTO_PAQ;GASTOFI_PAQ;IGASTOFI_PAQ;GASTO_ALOJA;GASTOFI_ALOJA;IGASTOFI_ALOJA;GASTO_TRANS;GASTOFI_TRANS;IGASTOFI_TRANS;GASTO_BAREST;GASTOFI_BAREST;IGASTOFI_BAREST;GASTO_ACT;GASTOFI_ACT;IGASTOFI_ACT;GASTO_BIENDUR;GASTOFI_BIENDUR;IGASTOFI_BIENDUR;GASTO_RESTO;GASTOFI_RESTO;IGASTOFI_RESTO;GASTOFI_TOTAL;IGASTOFI_TOTAL;ANT_TRANSP;RESERV_TRANSP;ANT_ALOJA;RESERV_ALOJA;PPAL_TRANSP_PAQ;PPAL_ALOJA_PAQ;ANT_PAQ;RESERV_PAQ;ACTI_GOLF;ACTI_DEPOR;ACTI_NAVEGA;ACTI_OTROSNAUTICOS;ACTI_CAZA;ACTI_SENDER;ACTI_AVENTURA;ACTI_CABALLO;ACTI_OTROSDEPORTES;ACTI_ESPECDEPOR;ACTI_VISITASCULTU;ACTI_ESPECULTU;ACTI_OTRASCULTU;ACTI_CIUDADES;ACTI_RURALES;ACTI_TEMATICOS;ACTI_RELAX;ACTI_JUEGOS;ACTI_GASTRO;ACTI_DIVER;ACTI_RELIGION;ACTI_CONGRESOS;ACTI_AREASNATU;ACTI_PLAYA;ACTI_FAMILIA;ACTI_COMPRAS;GRADO_SATISF;FIDELIDAD_DEST;MIEMV;MIEMV_15MAS;MIEMV_15MENOS;SEXO;EDAD;CCAA_RESIDENCIA;TAMAMU;URBA;PAISNAC;NACION;PAISNACIO;ECIVIL;CONV;NIVELEST;RELAECON;SITPROF;TIPHOGAR;MH;VIVSEC;INGR_HOG;CORR15_VT;FACTORVI_15MAS;FACTORVI_TOT;FACTORGAS_TOT
04;2021;02975;01;02;01;21;108;1;08;02;3;3;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;41,98;1;1;73,2;1;6;0;5;6;0;5;6;0;5;115,18;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;;1;1;0;1;069;01;1;1;1;1;1;1;3;4;3;;1;1;6;2;1;1120,149369;1120,149369;1120,149369
04;2021;02975;01;03;01;21;108;1;08;02;3;3;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;41,98;1;1;73,2;1;6;0;5;6;0;5;6;0;5;115,18;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;;1;1;0;1;069;01;1;1;1;1;1;1;3;4;3;;1;1;6;2;1;1120,149369;1120,149369;1120,149369
04;2021;02975;02;03;01;21;108;1;08;02;3;3;1;0;0;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;36,38;1;1;66,34;1;6;0;5;6;0;5;6;0;5;102,72;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;;1;1;0;1;069;01;1;1;1;1;1;1;3;4;3;;1;1;6;2;1;1120,149369;1120,149369;1120,149369
04;2021;08178;01;01;09;25;108;1;03;09;3;3;0;1;0;0;1;0;03;;05;;;6;;;;;6;6;;;;6;0;5;1;194,91;1;1;27,93;1;1;73,13;1;6;0;5;6;0;5;1;86,86;1;382,83;1;;;3;07;;;;;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;10;1;1;1;0;2;023;09;5;3;1;1;1;1;3;4;4;;4;4;6;3;1;2256,115906;2256,115906;2256,115906
04;2021;10974;01;01;03;33;108;1;07;10;194;24;0;1;0;0;0;0;10;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;24,59;2;6;0;5;6;0;5;6;0;5;1;292,13;4;316,72;2;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;2;2;0;2;064;12;5;3;1;1;1;2;1;4;4;;3;2;1;3;1;2266,004189;2266,004189;2266,004189
04;2021;10669;02;01;11;10;108;1;08;02;1;1;0;1;1;0;0;0;11;;05;;;6;;;;;6;6;;;;6;0;5;6;0;5;1;22,4;1;6;0;5;6;0;5;6;0;5;1;22,26;1;44,66;1;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;;3;2;1;1;039;11;2;1;1;1;1;2;1;4;1;3;4;3;6;3;1,69647;957,988599;1625,198919;1291,594337
04;2021;13574;01;05;04;07;108;1;17;06;4;4;;;;;;;03;;01;6;;;;;;;6;6;1;1;1;;0;5;1;136,33;1;1;127,85;1;1;69,15;1;1;7,21;1;6;0;5;1;36,03;1;376,57;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;025;10;1;1;1;1;1;1;3;4;1;4;1;1;6;4;1;2029,262037;2029,262037;2029,262037
04;2021;13574;01;06;04;07;108;1;17;06;4;4;;;;;;;03;;01;6;;;;;;;6;6;1;1;1;;0;5;1;136,33;1;1;127,85;1;1;69,15;1;1;7,21;1;6;0;5;1;36,03;1;376,57;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;025;10;1;1;1;1;1;1;3;4;1;4;1;1;6;4;1;2029,262037;2029,262037;2029,262037
04;2021;13574;01;07;04;07;108;1;17;06;4;4;;;;;;;03;;01;6;;;;;;;6;6;1;1;1;;0;5;1;136,33;1;1;127,85;1;1;69,15;1;1;7,21;1;6;0;5;1;36,03;1;376,57;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;025;10;1;1;1;1;1;1;3;4;1;4;1;1;6;4;1;2029,262037;2029,262037;2029,262037
04;2021;13574;01;08;04;07;108;1;17;06;4;4;;;;;;;03;;01;6;;;;;;;6;6;1;1;1;;0;5;1;136,33;1;1;127,85;1;1;69,15;1;1;7,21;1;6;0;5;1;36,03;1;376,57;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;025;10;1;1;1;1;1;1;3;4;1;4;1;1;6;4;1;2029,262037;2029,262037;2029,262037
